#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Sep 13 17:03:51 EDT 2019,29,29,Assignment1Suite,InsertTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,ClearTest0- ClearTest1- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- , ,
1,Fri Sep 13 17:08:12 EDT 2019,29,0,Assignment1Suite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
2,Fri Sep 13 17:09:06 EDT 2019,29,0,Assignment1Suite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
3,Fri Sep 13 17:14:40 EDT 2019,29,0,Assignment1Suite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
4,Fri Sep 13 17:15:13 EDT 2019,29,0,Assignment1Suite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
5,Fri Sep 13 17:18:02 EDT 2019,29,0,Assignment1Suite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
6,Fri Sep 13 17:18:47 EDT 2019,29,0,RemoveTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
7,Fri Sep 13 17:20:45 EDT 2019,29,0,Assignment1Suite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
8,Fri Sep 13 17:22:15 EDT 2019,29,0,Assignment1Suite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
9,Fri Sep 13 17:24:12 EDT 2019,29,0,Assignment1Suite,InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
